architecture,n,k,tau_BP,tau_state2design_first_crossing,tau_state2design_persistent,tau_state2design_persistent_1.5,tau_BP_over_tau_state2design_first_crossing,tau_BP_over_tau_state2design_persistent,tau_BP_over_tau_state2design_persistent_1.5,F2_over_Haar_at_tau_BP
brickwall_1d,14,3,10,14,17,,0.7142857142857143,0.5882352941176471,,4.912790787584807
brickwall_1d,14,4,7,14,17,,0.5,0.4117647058823529,,3.42488365938446
brickwall_1d,14,5,4,14,17,,0.2857142857142857,0.23529411764705882,,6.929704177954148
brickwall_1d,14,6,3,14,17,,0.21428571428571427,0.17647058823529413,,6.550662016367333
brickwall_1d,14,8,2,14,17,,0.14285714285714285,0.11764705882352941,,25.57834352588599
brickwall_1d,14,10,2,14,17,,0.14285714285714285,0.11764705882352941,,25.57834352588599
brickwall_1d,14,12,1,14,17,,0.07142857142857142,0.058823529411764705,,6.693479021487852
brickwall_1d,14,14,1,14,17,,0.07142857142857142,0.058823529411764705,,6.693479021487852
grid_2d,8,2,10,6,6,10.0,1.6666666666666667,1.6666666666666667,1.0,1.4357317745786553
grid_2d,8,3,8,6,6,10.0,1.3333333333333333,1.3333333333333333,0.8,1.3389029100416785
grid_2d,8,4,6,6,6,10.0,1.0,1.0,0.6,1.3423928110143115
grid_2d,8,5,6,6,6,10.0,1.0,1.0,0.6,1.3423928110143115
grid_2d,8,6,6,6,6,10.0,1.0,1.0,0.6,1.3423928110143115
grid_2d,8,8,5,6,6,10.0,0.8333333333333334,0.8333333333333334,0.5,2.307083672394224
grid_2d,10,2,9,10,10,19.0,0.9,0.9,0.47368421052631576,2.175078040754553
grid_2d,10,3,6,10,10,19.0,0.6,0.6,0.3157894736842105,2.0228956798499755
grid_2d,10,4,4,10,10,19.0,0.4,0.4,0.21052631578947367,3.248398479678576
grid_2d,10,5,4,10,10,19.0,0.4,0.4,0.21052631578947367,3.248398479678576
grid_2d,10,6,3,10,10,19.0,0.3,0.3,0.15789473684210525,6.467949803368123
grid_2d,10,8,2,10,10,19.0,0.2,0.2,0.10526315789473684,7.2212467941599
grid_2d,10,10,2,10,10,19.0,0.2,0.2,0.10526315789473684,7.2212467941599
grid_2d,12,2,7,7,7,25.0,1.0,1.0,0.28,1.9147863011932664
grid_2d,12,3,7,7,7,25.0,1.0,1.0,0.28,1.9147863011932664
grid_2d,12,4,4,7,7,25.0,0.5714285714285714,0.5714285714285714,0.16,4.9483064922926605
grid_2d,12,5,3,7,7,25.0,0.42857142857142855,0.42857142857142855,0.12,8.135341468127276
grid_2d,12,6,3,7,7,25.0,0.42857142857142855,0.42857142857142855,0.12,8.135341468127276
grid_2d,12,8,3,7,7,25.0,0.42857142857142855,0.42857142857142855,0.12,8.135341468127276
grid_2d,12,10,2,7,7,25.0,0.2857142857142857,0.2857142857142857,0.08,7.457731814843692
grid_2d,12,12,2,7,7,25.0,0.2857142857142857,0.2857142857142857,0.08,7.457731814843692
grid_2d,14,2,7,11,11,18.0,0.6363636363636364,0.6363636363636364,0.3888888888888889,2.8711854064499795
grid_2d,14,3,5,11,11,18.0,0.45454545454545453,0.45454545454545453,0.2777777777777778,2.8179527430846254
grid_2d,14,4,4,11,11,18.0,0.36363636363636365,0.36363636363636365,0.2222222222222222,9.251074082952982
grid_2d,14,5,3,11,11,18.0,0.2727272727272727,0.2727272727272727,0.16666666666666666,9.758499259889971
grid_2d,14,6,3,11,11,18.0,0.2727272727272727,0.2727272727272727,0.16666666666666666,9.758499259889971
grid_2d,14,8,2,11,11,18.0,0.18181818181818182,0.18181818181818182,0.1111111111111111,40.13545654640509
grid_2d,14,10,1,11,11,18.0,0.09090909090909091,0.09090909090909091,0.05555555555555555,684.1889367601348
grid_2d,14,12,1,11,11,18.0,0.09090909090909091,0.09090909090909091,0.05555555555555555,684.1889367601348
grid_2d,14,14,1,11,11,18.0,0.09090909090909091,0.09090909090909091,0.05555555555555555,684.1889367601348
