architecture,n,depth,state_frame_potential,haar_target,ratio_to_haar,log10_ratio
brickwall_1d,10,26,4.119697535451485e-06,1.9054878048780488e-06,2.1620172666049395,0.3348591580545267
brickwall_1d,10,27,2.819897965713526e-06,1.9054878048780488e-06,1.4798824524064584,0.17022722059857015
brickwall_1d,10,28,2.193075927245594e-06,1.9054878048780488e-06,1.1509262466184877,0.06104749416594995
brickwall_1d,10,29,3.0308953932753558e-06,1.9054878048780488e-06,1.5906139023909067,0.20156477398324674
brickwall_1d,10,30,3.125297138076086e-06,1.9054878048780488e-06,1.6401559380623298,0.21488514062117203
brickwall_1d,12,1,3.0588237961227132e-06,1.1918019282401757e-07,25.665538237879822,1.4093503763813164
brickwall_1d,12,2,1.2446906787489116e-06,1.1918019282401757e-07,10.443771311788627,1.0188573534692087
brickwall_1d,12,3,4.047463191967018e-06,1.1918019282401757e-07,33.960871316457215,1.5309788241830755
brickwall_1d,12,4,5.191813831181764e-07,1.1918019282401757e-07,4.356272387348826,0.6391150273335225
brickwall_1d,12,5,6.925831764229647e-07,1.1918019282401757e-07,5.811227184752408,0.7642678541267283
brickwall_1d,12,6,8.618109080024339e-07,1.1918019282401757e-07,7.23115886609607,0.859207902940458
brickwall_1d,12,7,4.822767915121572e-07,1.1918019282401757e-07,4.046618654362231,0.6070922792347545
brickwall_1d,12,8,3.001441574823342e-07,1.1918019282401757e-07,2.5184063758440924,0.40112581018278315
brickwall_1d,12,9,5.626571340673518e-07,1.1918019282401757e-07,4.721062457905029,0.6740397460241541
brickwall_1d,12,10,2.9806016821400143e-07,1.1918019282401757e-07,2.5009203387858205,0.3980998584731136
brickwall_1d,12,11,3.479609294351404e-07,1.1918019282401757e-07,2.9196204603305373,0.46532639846985135
brickwall_1d,12,12,2.1851191751519303e-07,1.1918019282401757e-07,1.8334583317703594,0.26327104438233995
brickwall_1d,12,13,2.1674760787777522e-07,1.1918019282401757e-07,1.818654616525302,0.25975022936612896
brickwall_1d,12,14,2.5651907959601846e-07,1.1918019282401757e-07,2.15236335432681,0.33291558923343506
brickwall_1d,12,15,2.59717305567255e-07,1.1918019282401757e-07,2.1791985682617216,0.33829680490034986
brickwall_1d,12,16,2.0664897112928826e-07,1.1918019282401757e-07,1.7339204294997894,0.23902916360035786
brickwall_1d,12,17,2.0654118055737842e-07,1.1918019282401757e-07,1.7330159958908506,0.23880257130887897
brickwall_1d,12,18,2.128403811487199e-07,1.1918019282401757e-07,1.7858704211277936,0.25184994423296936
brickwall_1d,12,19,2.1473879992474675e-07,1.1918019282401757e-07,1.801799400021376,0.2557064379675459
brickwall_1d,12,20,1.994118540629768e-07,1.1918019282401757e-07,1.6731962697646408,0.22354688769054426
brickwall_1d,12,21,2.2170005094196562e-07,1.1918019282401757e-07,1.8602088626365094,0.26956170916308814
brickwall_1d,12,22,1.7358413195267257e-07,1.1918019282401757e-07,1.4564847382734838,0.163305938247355
brickwall_1d,12,23,1.992889050365184e-07,1.1918019282401757e-07,1.6721646467780933,0.22327903725775639
brickwall_1d,12,24,2.5396652911506376e-07,1.1918019282401757e-07,2.1309457813184842,0.3285723998907608
brickwall_1d,12,25,2.2852796893820719e-07,1.1918019282401757e-07,1.9174995737391818,0.2827352760772158
