framework,framework_version,simulator,architecture,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,threshold,configuration_seed
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,6,48,50,2400,0.005957420382303697,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,7,56,50,2800,0.005515871566954202,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,8,64,50,3200,0.0051928999360725345,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,9,72,50,3600,0.005790846738983123,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,10,80,50,4000,0.004248252364129643,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,11,88,50,4400,0.004169123236485291,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,12,96,50,4800,0.004171239522688755,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,13,104,50,5200,0.004079279727587506,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,14,112,50,5600,0.003924124078647063,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,15,120,50,6000,0.0038408592579068763,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,16,128,50,6400,0.003591631972859327,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,17,136,50,6800,0.003966646345737222,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,18,144,50,7200,0.004064134627925625,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,19,152,50,7600,0.003923742012518873,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,20,160,50,8000,0.003831762624293864,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,21,168,50,8400,0.0038376167145276123,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,22,176,50,8800,0.003956501679848054,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,23,184,50,9200,0.003445777758250413,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,24,192,50,9600,0.004068124807086885,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,25,200,50,10000,0.003977951542376363,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,26,208,50,10400,0.00394809100078164,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,27,216,50,10800,0.003957673589601537,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,28,224,50,11200,0.003804242239527749,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,29,232,50,11600,0.0038808905323291063,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,30,240,50,12000,0.003624429082634259,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,1,8,50,400,0.05228626266900913,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,2,16,50,800,0.01899504899809608,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,3,24,50,1200,0.0071440299268853156,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,4,32,50,1600,0.004930330137178699,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,5,40,50,2000,0.006114984337524379,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,6,48,50,2400,0.005783067089743859,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,7,56,50,2800,0.0059630355274731105,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,8,64,50,3200,0.005744676152572694,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,9,72,50,3600,0.004653798718020259,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,10,80,50,4000,0.004252018726799058,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,11,88,50,4400,0.0039953650172747,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,12,96,50,4800,0.004079187066648493,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,13,104,50,5200,0.003928000788899967,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,14,112,50,5600,0.003940500359910069,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,15,120,50,6000,0.0038631450845407413,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,16,128,50,6400,0.004075995159872601,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,17,136,50,6800,0.0042670878317820436,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,18,144,50,7200,0.0039481102942614775,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,19,152,50,7600,0.004048470623325307,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,20,160,50,8000,0.004004417857279728,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,21,168,50,8400,0.003961591947946055,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,22,176,50,8800,0.003756469598300563,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,23,184,50,9200,0.003913212524315953,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,24,192,50,9600,0.004092964600296205,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,25,200,50,10000,0.003953646328249336,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,26,208,50,10400,0.004135661164458697,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,27,216,50,10800,0.003884311988919825,0.01,2667285886
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,28,224,50,11200,0.0039408344774984295,0.01,2667285886
