bootstrap_id,A,c
214,1299.298063662871,1.405280786121135
215,1237.5453973780159,1.3458344795002721
216,882.9654812155433,1.2902902357123698
217,1039.904724716856,1.327655125434057
218,625.8730761583562,1.1832949586653299
219,832.7275293423565,1.3080279606526972
220,1362.6034839970414,1.368714620712477
221,1510.5340789845588,1.4233575619701575
222,2228.604328929937,1.5161588242631296
223,1737.683847279725,1.4861504461211845
224,676.758828784388,1.2205578731940665
225,958.2798753951377,1.3097593151828257
226,1198.4073032435683,1.353973522391015
227,1028.3048495463663,1.352636992319874
228,2257.366731601558,1.525611192913873
229,1111.3864716862581,1.3410502033465637
230,2585.27960249982,1.5349815729236331
231,1750.9262260250187,1.4787512094534248
232,716.1915207176768,1.1933616750120724
233,1437.726446686689,1.397151556492379
234,1228.6991736732007,1.3926736533537727
235,772.4600450378555,1.2283414940507154
236,1577.8591160758233,1.4308109249164502
237,1669.8282639047713,1.431141296091115
238,952.4196686447115,1.305394319272134
239,1595.7955605175773,1.4094041937443897
240,735.1573224039452,1.2328083510017327
241,750.6278596632843,1.2782859993828148
242,1167.8232450842165,1.3578318412389478
243,1817.9358018065698,1.4408703095977247
244,2007.9437316897772,1.4657460888736051
245,983.9874306463827,1.295634037676357
246,2790.959993224749,1.6073615645842272
247,698.659353122525,1.2274199898570641
248,926.9165192763826,1.3087976045837217
249,946.5678652882146,1.3132941506485234
250,2093.564756141861,1.5094829647546315
251,724.5804318531618,1.2282424605070261
252,1490.8940372218885,1.421762942767864
253,975.4450401581898,1.292758974449773
254,1105.825728160726,1.339227064649738
255,845.6739686874394,1.2649400438398217
256,1600.8557552468887,1.4459979795374178
257,943.7604133862463,1.3137444078523903
258,1027.9380379248232,1.3517321747990048
259,1720.4246570929645,1.449109465782299
260,927.5539663252607,1.2920503457942354
261,1137.9677361656234,1.3546728380994604
262,1566.5802330106098,1.4248055141557117
263,1375.6162572174626,1.4032456642116888
264,657.1122165142144,1.1936799083552514
265,1158.7458443832309,1.3607146659074465
266,862.213485652247,1.280808947583669
267,1076.3675695001427,1.3496359994328302
268,1523.6787138372508,1.4264558819697564
269,1933.3696451413985,1.4841137035967746
270,1177.7398652017077,1.3765324781387545
271,1245.250477851714,1.3649891414476325
272,782.8363238831871,1.2380177608574996
273,4966.077384758655,1.7080691675790005
274,876.8341825052064,1.265738235685604
275,1240.308601902628,1.3550752380310798
276,929.3748581840501,1.2944557112063313
277,1679.811468045902,1.437971709374191
278,2543.4389306479243,1.5370954179451086
279,544.479172338968,1.164719424823197
280,726.5517649690521,1.2581672190961803
281,778.2379007028992,1.233060826885406
282,1430.5692460834439,1.3932393525587543
283,915.25533034294,1.2567496638268911
284,1103.0536428145697,1.342187903080718
285,2198.838952135147,1.516886465704507
286,2277.813160959118,1.5095259200030873
287,976.5384843318458,1.3284116570188456
288,1607.4647910711449,1.429316101830653
289,1566.0325080692737,1.4401309629820096
290,758.8537063880798,1.2550033883478044
291,1114.0353579444898,1.3392027310563461
292,4629.216426084022,1.7106235675473689
293,1478.852664357854,1.3832634818447083
294,1382.0972493683917,1.3849847359320222
295,1425.7961434602576,1.4126285320589542
296,727.0922294086337,1.208676514892087
297,1211.0393565758734,1.3645623597535181
298,1879.700874911275,1.472233959095466
299,1195.0550078750152,1.3511761396771231
300,1591.3442658118934,1.4379575394391353
301,1542.5327647268,1.4316846756903396
