framework,framework_version,simulator,architecture,observable,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,threshold,configuration_seed,tau_BP,censored
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,21,168,50,8400,0.008422623313841918,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,22,176,50,8800,0.008315233926702466,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,23,184,50,9200,0.008010685762906542,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,24,192,50,9600,0.007717296249092326,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,25,200,50,10000,0.006422345565050842,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,26,208,50,10400,0.007822155436566069,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,27,216,50,10800,0.00594305981807269,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,28,224,50,11200,0.005879302392762024,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,29,232,50,11600,0.005875811146781878,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,30,240,50,12000,0.00549763807477956,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,1,8,50,400,0.044623829808865596,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,2,16,50,800,0.017236443243135672,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,3,24,50,1200,0.013070903415189997,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,4,32,50,1600,0.01212941990248732,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,5,40,50,2000,0.012125089718874122,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,6,48,50,2400,0.008859701661894741,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,7,56,50,2800,0.009137354943627787,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,8,64,50,3200,0.008016521322424894,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,9,72,50,3600,0.006404509767207,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,10,80,50,4000,0.006143768589119183,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,11,88,50,4400,0.00701345649598991,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,12,96,50,4800,0.00613675030557018,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,13,104,50,5200,0.00595765622896142,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,14,112,50,5600,0.005954291522390654,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,15,120,50,6000,0.005121160294092545,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,16,128,50,6400,0.0062528327433577675,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,17,136,50,6800,0.004781611742240933,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,18,144,50,7200,0.005398929799491334,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,19,152,50,7600,0.004700840245046046,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,20,160,50,8000,0.0048877692038774585,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,21,168,50,8400,0.004726529444037964,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,22,176,50,8800,0.004651460738305498,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,23,184,50,9200,0.004588017250374839,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,24,192,50,9600,0.004735147616228357,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,25,200,50,10000,0.004333118446637524,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,26,208,50,10400,0.004543938053762065,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,27,216,50,10800,0.0041881360256993535,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,28,224,50,11200,0.004242496814067388,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,29,232,50,11600,0.00413054625720597,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_5,8,6,30,240,50,12000,0.004301734635108687,0.01,2715193214,6,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,1,10,50,500,0.0435571935043381,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,2,20,50,1000,0.031647992008188776,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,3,30,50,1500,0.0261647826656151,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,4,40,50,2000,0.023087853712753213,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,5,50,50,2500,0.0172615656697262,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,6,60,50,3000,0.01945930584058111,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,7,70,50,3500,0.014358100548110608,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,8,80,50,4000,0.01499424359375658,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,9,90,50,4500,0.011200742596254478,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,10,100,50,5000,0.012172639959441766,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,11,110,50,5500,0.00838401088996327,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,12,120,50,6000,0.010099488209034859,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,13,130,50,6500,0.0064426789281476285,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,14,140,50,7000,0.007650340029192419,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,15,150,50,7500,0.00553656360065808,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,16,160,50,8000,0.0061832106664349,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,17,170,50,8500,0.004995744738357872,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,18,180,50,9000,0.005779365423326606,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,19,190,50,9500,0.0038724157809802663,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,20,200,50,10000,0.0042190907574984355,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,21,210,50,10500,0.0038389426996845435,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,22,220,50,11000,0.003965493975633248,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,23,230,50,11500,0.002917879590703646,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,24,240,50,12000,0.0030090160648140185,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,25,250,50,12500,0.00227377014451784,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,26,260,50,13000,0.002508273692083273,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,27,270,50,13500,0.002060804155661739,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,28,280,50,14000,0.0022426535850276867,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,29,290,50,14500,0.0017297052888708454,0.01,3562792977,11,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_3,10,4,30,300,50,15000,0.0019429547096247723,0.01,3562792977,11,False
