framework,framework_version,simulator,architecture,n,depth,n_samples,mean_entropy,std_entropy,stderr_entropy,mean_normalized_entropy,std_normalized_entropy,stderr_normalized_entropy,seed
PennyLane,0.44.1,lightning.qubit,all_to_all,10,8,50,3.9913756925797497,0.1758974881965467,0.024875661339491772,0.7982751385159499,0.035179497639309346,0.004975132267898356,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,9,50,4.153359629843063,0.09828017534834842,0.013898915689004025,0.8306719259686126,0.019656035069669685,0.002779783137800805,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,10,50,4.204820646488042,0.06519811387310295,0.009220405688048763,0.8409641292976084,0.013039622774620585,0.001844081137609752,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,11,50,4.201077352402242,0.06978814736135318,0.00986953444913178,0.8402154704804482,0.013957629472270631,0.001973906889826355,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,12,50,4.218600609874341,0.05396562899252537,0.007631892442322408,0.8437201219748682,0.01079312579850508,0.0015263784884644825,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,13,50,4.238640437432178,0.03327872705171132,0.004706322713504255,0.8477280874864357,0.006655745410342267,0.0009412645427008515,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,14,50,4.258544368847509,0.029532011020431112,0.004176457050924539,0.8517088737695018,0.005906402204086223,0.0008352914101849077,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,15,50,4.25522577666875,0.03378482154420347,0.004777895283016727,0.8510451553337499,0.006756964308840685,0.0009555790566033442,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,16,50,4.264296041446516,0.026346947111087378,0.0037260209931626403,0.8528592082893033,0.005269389422217475,0.0007452041986325279,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,17,50,4.262382164304017,0.03146899085952542,0.00445038736677358,0.8524764328608034,0.006293798171905083,0.000890077473354716,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,18,50,4.267971390830865,0.030264303012815665,0.0042800187776492835,0.853594278166173,0.0060528606025631254,0.0008560037555298556,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,19,50,4.261544810873006,0.030823375979439585,0.004359083634824854,0.8523089621746013,0.006164675195887909,0.0008718167269649696,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,20,50,4.264889736760895,0.03552802980533558,0.005024422159510112,0.852977947352179,0.007105605961067111,0.001004884431902022,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,21,50,4.260749288411941,0.030409038087236568,0.0043004874081689955,0.8521498576823884,0.006081807617447307,0.000860097481633798,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,22,50,4.264641527975451,0.031931998565708455,0.004515866544530312,0.85292830559509,0.0063863997131416925,0.0009031733089060625,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,23,50,4.271707241192136,0.03425357333597225,0.004844186797147338,0.8543414482384271,0.006850714667194447,0.0009688373594294672,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,24,50,4.262085467944171,0.025601037670882218,0.0036205334684986145,0.8524170935888344,0.005120207534176436,0.0007241066936997218,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,25,50,4.273230306302631,0.027673600902795293,0.003913638171643343,0.8546460612605261,0.005534720180559064,0.0007827276343286693,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,26,50,4.260112047831203,0.031183113256321407,0.004409958168410598,0.8520224095662406,0.0062366226512642845,0.0008819916336821201,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,27,50,4.262533122562708,0.033916275469055866,0.004796485675352071,0.8525066245125413,0.006783255093811172,0.000959297135070414,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,28,50,4.264552172193229,0.027443135662434684,0.003881045464785988,0.8529104344386458,0.0054886271324869375,0.0007762090929571977,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,29,50,4.271813268994829,0.032086339593992985,0.004537693662073371,0.8543626537989658,0.006417267918798603,0.000907538732414675,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,30,50,4.261996109500262,0.028365991558045048,0.004011556997154803,0.8523992219000526,0.005673198311609014,0.0008023113994309611,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,12,1,50,1.2638491846063882,0.5752628515644381,0.0813544526611849,0.21064153076773134,0.09587714192740635,0.013559075443530815,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,2,50,1.4539566344170316,0.4990211564880613,0.07057224874165229,0.24232610573617192,0.08317019274801021,0.011762041456942048,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,3,50,1.4406374561582522,0.47018340099974776,0.06649397424965507,0.24010624269304198,0.07836390016662463,0.01108232904160918,339234118
PennyLane,0.44.1,lightning.qubit,all_to_all,12,4,50,2.4916940412553186,0.5527654251030544,0.07817283609916688,0.41528234020921984,0.09212757085050906,0.013028806016527813,339234118
