architecture,n,k,nk,tau_BP,censored,depth,mean_entropy,stderr_entropy,mean_normalized_entropy,stderr_normalized_entropy,entropy_fraction_of_max,entropy_saturation_level,entropy_saturation_depth,tau_minus_entropy_saturation
grid_2d,10,3,30,6,False,6,3.26067113509856,0.05735510375256475,0.652134227019712,0.01147102075051295,0.652134227019712,0.95,,
grid_2d,10,4,40,4,False,4,2.4713393089053595,0.07725987321945997,0.4942678617810719,0.015451974643891994,0.4942678617810719,0.95,,
grid_2d,10,5,50,4,False,4,2.4713393089053595,0.07725987321945997,0.4942678617810719,0.015451974643891994,0.4942678617810719,0.95,,
grid_2d,10,6,60,3,False,3,2.099314555683548,0.07757741020015767,0.4198629111367097,0.015515482040031532,0.4198629111367097,0.95,,
grid_2d,10,8,80,2,False,2,0.7057195268953703,0.05789174647574995,0.14114390537907406,0.011578349295149991,0.14114390537907406,0.95,,
grid_2d,10,10,100,2,False,2,0.7057195268953703,0.05789174647574995,0.14114390537907406,0.011578349295149991,0.14114390537907406,0.95,,
grid_2d,12,2,24,7,False,7,3.3015136297864784,0.06377773409404741,0.5502522716310799,0.010629622349007902,0.5502522716310799,0.95,,
grid_2d,12,3,36,7,False,7,3.3015136297864784,0.06377773409404741,0.5502522716310799,0.010629622349007902,0.5502522716310799,0.95,,
grid_2d,12,4,48,4,False,4,2.1217315992717842,0.0679965643238411,0.35362193321196406,0.011332760720640185,0.35362193321196406,0.95,,
grid_2d,12,5,60,3,False,3,1.5245505786171318,0.06633367395747267,0.2540917631028553,0.011055612326245443,0.2540917631028553,0.95,,
grid_2d,12,6,72,3,False,3,1.5245505786171318,0.06633367395747267,0.2540917631028553,0.011055612326245443,0.2540917631028553,0.95,,
grid_2d,12,8,96,3,False,3,1.5245505786171318,0.06633367395747267,0.2540917631028553,0.011055612326245443,0.2540917631028553,0.95,,
grid_2d,12,10,120,2,False,2,0.8579893393680156,0.04637011962911164,0.14299822322800262,0.0077283532715186065,0.14299822322800262,0.95,,
grid_2d,12,12,144,2,False,2,0.8579893393680156,0.04637011962911164,0.14299822322800262,0.0077283532715186065,0.14299822322800262,0.95,,
grid_2d,14,2,28,7,False,7,4.794454873016991,0.058785817987153564,0.684922124716713,0.008397973998164793,0.684922124716713,0.95,,
grid_2d,14,3,42,5,False,5,3.625746643208871,0.10340798474891885,0.5179638061726959,0.01477256924984555,0.5179638061726959,0.95,,
grid_2d,14,4,56,4,False,4,3.4528552451908645,0.09307484553447876,0.4932650350272663,0.013296406504925537,0.4932650350272663,0.95,,
grid_2d,14,5,70,3,False,3,3.2169374401484543,0.08875492009711743,0.45956249144977934,0.012679274299588204,0.45956249144977934,0.95,,
grid_2d,14,6,84,3,False,3,3.2169374401484543,0.08875492009711743,0.45956249144977934,0.012679274299588204,0.45956249144977934,0.95,,
grid_2d,14,8,112,2,False,2,0.8566875949727537,0.060188208675535586,0.12238394213896482,0.008598315525076512,0.12238394213896482,0.95,,
grid_2d,14,10,140,1,False,1,0.3060325007551183,0.04249828599068322,0.04371892867930261,0.006071183712954746,0.04371892867930261,0.95,,
grid_2d,14,12,168,1,False,1,0.3060325007551183,0.04249828599068322,0.04371892867930261,0.006071183712954746,0.04371892867930261,0.95,,
grid_2d,14,14,196,1,False,1,0.3060325007551183,0.04249828599068322,0.04371892867930261,0.006071183712954746,0.04371892867930261,0.95,,
