n,k,nk,architecture,threshold,tau_BP,censored
14,2,28,brickwall,0.05,1,False
14,3,42,brickwall,0.05,1,False
14,4,56,brickwall,0.05,1,False
14,5,70,brickwall,0.05,1,False
14,6,84,brickwall,0.05,1,False
14,8,112,brickwall,0.05,1,False
14,10,140,brickwall,0.05,1,False
14,12,168,brickwall,0.05,1,False
14,14,196,brickwall,0.05,1,False
16,2,32,brickwall,0.05,1,False
16,3,48,brickwall,0.05,1,False
16,4,64,brickwall,0.05,1,False
16,5,80,brickwall,0.05,1,False
16,6,96,brickwall,0.05,1,False
16,8,128,brickwall,0.05,1,False
16,10,160,brickwall,0.05,1,False
16,12,192,brickwall,0.05,1,False
16,14,224,brickwall,0.05,1,False
16,16,256,brickwall,0.05,1,False
8,2,16,brickwall,0.02,11,False
8,3,24,brickwall,0.02,8,False
8,4,32,brickwall,0.02,7,False
8,5,40,brickwall,0.02,4,False
8,6,48,brickwall,0.02,3,False
8,8,64,brickwall,0.02,2,False
10,2,20,brickwall,0.02,9,False
10,3,30,brickwall,0.02,8,False
10,4,40,brickwall,0.02,4,False
10,5,50,brickwall,0.02,2,False
10,6,60,brickwall,0.02,2,False
10,8,80,brickwall,0.02,2,False
10,10,100,brickwall,0.02,1,False
12,2,24,brickwall,0.02,8,False
12,3,36,brickwall,0.02,6,False
12,4,48,brickwall,0.02,3,False
12,5,60,brickwall,0.02,2,False
12,6,72,brickwall,0.02,2,False
12,8,96,brickwall,0.02,2,False
12,10,120,brickwall,0.02,1,False
12,12,144,brickwall,0.02,1,False
14,2,28,brickwall,0.02,7,False
14,3,42,brickwall,0.02,4,False
14,4,56,brickwall,0.02,3,False
14,5,70,brickwall,0.02,2,False
14,6,84,brickwall,0.02,2,False
14,8,112,brickwall,0.02,1,False
14,10,140,brickwall,0.02,1,False
14,12,168,brickwall,0.02,1,False
14,14,196,brickwall,0.02,1,False
16,2,32,brickwall,0.02,5,False
16,3,48,brickwall,0.02,4,False
16,4,64,brickwall,0.02,2,False
16,5,80,brickwall,0.02,2,False
16,6,96,brickwall,0.02,2,False
16,8,128,brickwall,0.02,1,False
16,10,160,brickwall,0.02,1,False
16,12,192,brickwall,0.02,1,False
16,14,224,brickwall,0.02,1,False
16,16,256,brickwall,0.02,1,False
8,2,16,brickwall,0.01,19,False
8,3,24,brickwall,0.01,16,False
8,4,32,brickwall,0.01,13,False
8,5,40,brickwall,0.01,10,False
8,6,48,brickwall,0.01,7,False
8,8,64,brickwall,0.01,2,False
10,2,20,brickwall,0.01,17,False
10,3,30,brickwall,0.01,14,False
10,4,40,brickwall,0.01,11,False
10,5,50,brickwall,0.01,8,False
10,6,60,brickwall,0.01,3,False
10,8,80,brickwall,0.01,2,False
10,10,100,brickwall,0.01,2,False
12,2,24,brickwall,0.01,15,False
12,3,36,brickwall,0.01,12,False
12,4,48,brickwall,0.01,9,False
12,5,60,brickwall,0.01,4,False
12,6,72,brickwall,0.01,4,False
12,8,96,brickwall,0.01,2,False
12,10,120,brickwall,0.01,2,False
12,12,144,brickwall,0.01,2,False
14,2,28,brickwall,0.01,13,False
14,3,42,brickwall,0.01,10,False
14,4,56,brickwall,0.01,7,False
14,5,70,brickwall,0.01,4,False
14,6,84,brickwall,0.01,2,False
14,8,112,brickwall,0.01,2,False
14,10,140,brickwall,0.01,2,False
14,12,168,brickwall,0.01,1,False
14,14,196,brickwall,0.01,1,False
16,2,32,brickwall,0.01,12,False
16,3,48,brickwall,0.01,10,False
16,4,64,brickwall,0.01,7,False
16,5,80,brickwall,0.01,2,False
16,6,96,brickwall,0.01,2,False
16,8,128,brickwall,0.01,2,False
16,10,160,brickwall,0.01,2,False
16,12,192,brickwall,0.01,1,False
16,14,224,brickwall,0.01,1,False
16,16,256,brickwall,0.01,1,False
8,2,16,brickwall,0.005,31,True
8,3,24,brickwall,0.005,28,False
8,4,32,brickwall,0.005,25,False
8,5,40,brickwall,0.005,20,False
8,6,48,brickwall,0.005,20,False
8,8,64,brickwall,0.005,13,False
10,2,20,brickwall,0.005,25,False
10,3,30,brickwall,0.005,21,False
10,4,40,brickwall,0.005,17,False
10,5,50,brickwall,0.005,14,False
10,6,60,brickwall,0.005,9,False
10,8,80,brickwall,0.005,4,False
10,10,100,brickwall,0.005,2,False
12,2,24,brickwall,0.005,23,False
12,3,36,brickwall,0.005,20,False
12,4,48,brickwall,0.005,17,False
12,5,60,brickwall,0.005,10,False
12,6,72,brickwall,0.005,8,False
12,8,96,brickwall,0.005,3,False
12,10,120,brickwall,0.005,2,False
12,12,144,brickwall,0.005,2,False
14,2,28,brickwall,0.005,21,False
14,3,42,brickwall,0.005,18,False
14,4,56,brickwall,0.005,13,False
14,5,70,brickwall,0.005,10,False
14,6,84,brickwall,0.005,5,False
14,8,112,brickwall,0.005,3,False
14,10,140,brickwall,0.005,2,False
14,12,168,brickwall,0.005,2,False
14,14,196,brickwall,0.005,1,False
16,2,32,brickwall,0.005,19,False
16,3,48,brickwall,0.005,16,False
16,4,64,brickwall,0.005,13,False
16,5,80,brickwall,0.005,10,False
16,6,96,brickwall,0.005,6,False
16,8,128,brickwall,0.005,2,False
16,10,160,brickwall,0.005,2,False
16,12,192,brickwall,0.005,2,False
16,14,224,brickwall,0.005,2,False
16,16,256,brickwall,0.005,1,False
8,2,16,brickwall,0.001,31,True
8,3,24,brickwall,0.001,31,True
8,4,32,brickwall,0.001,31,True
8,5,40,brickwall,0.001,31,True
8,6,48,brickwall,0.001,31,True
8,8,64,brickwall,0.001,31,True
10,2,20,brickwall,0.001,31,True
10,3,30,brickwall,0.001,31,True
10,4,40,brickwall,0.001,31,True
10,5,50,brickwall,0.001,31,True
10,6,60,brickwall,0.001,31,True
10,8,80,brickwall,0.001,31,True
10,10,100,brickwall,0.001,31,True
12,2,24,brickwall,0.001,31,True
12,3,36,brickwall,0.001,31,True
12,4,48,brickwall,0.001,31,True
12,5,60,brickwall,0.001,28,False
12,6,72,brickwall,0.001,23,False
12,8,96,brickwall,0.001,13,False
12,10,120,brickwall,0.001,5,False
12,12,144,brickwall,0.001,4,False
14,2,28,brickwall,0.001,31,True
14,3,42,brickwall,0.001,31,True
14,4,56,brickwall,0.001,29,False
14,5,70,brickwall,0.001,24,False
14,6,84,brickwall,0.001,19,False
14,8,112,brickwall,0.001,11,False
14,10,140,brickwall,0.001,5,False
14,12,168,brickwall,0.001,3,False
14,14,196,brickwall,0.001,2,False
16,2,32,brickwall,0.001,31,True
16,3,48,brickwall,0.001,31,True
16,4,64,brickwall,0.001,29,False
16,5,80,brickwall,0.001,24,False
16,6,96,brickwall,0.001,19,False
16,8,128,brickwall,0.001,11,False
16,10,160,brickwall,0.001,4,False
16,12,192,brickwall,0.001,3,False
16,14,224,brickwall,0.001,2,False
16,16,256,brickwall,0.001,2,False
8,2,16,brickwall,0.0001,31,True
8,3,24,brickwall,0.0001,31,True
8,4,32,brickwall,0.0001,31,True
8,5,40,brickwall,0.0001,31,True
8,6,48,brickwall,0.0001,31,True
8,8,64,brickwall,0.0001,31,True
10,2,20,brickwall,0.0001,31,True
10,3,30,brickwall,0.0001,31,True
10,4,40,brickwall,0.0001,31,True
10,5,50,brickwall,0.0001,31,True
10,6,60,brickwall,0.0001,31,True
10,8,80,brickwall,0.0001,31,True
10,10,100,brickwall,0.0001,31,True
12,2,24,brickwall,0.0001,31,True
12,3,36,brickwall,0.0001,31,True
12,4,48,brickwall,0.0001,31,True
12,5,60,brickwall,0.0001,31,True
12,6,72,brickwall,0.0001,31,True
12,8,96,brickwall,0.0001,31,True
12,10,120,brickwall,0.0001,31,True
12,12,144,brickwall,0.0001,31,True
14,2,28,brickwall,0.0001,31,True
14,3,42,brickwall,0.0001,31,True
14,4,56,brickwall,0.0001,31,True
14,5,70,brickwall,0.0001,31,True
14,6,84,brickwall,0.0001,31,True
14,8,112,brickwall,0.0001,31,True
14,10,140,brickwall,0.0001,27,False
14,12,168,brickwall,0.0001,20,False
14,14,196,brickwall,0.0001,18,False
16,2,32,brickwall,0.0001,31,True
16,3,48,brickwall,0.0001,31,True
16,4,64,brickwall,0.0001,31,True
16,5,80,brickwall,0.0001,31,True
16,6,96,brickwall,0.0001,31,True
16,8,128,brickwall,0.0001,31,True
16,10,160,brickwall,0.0001,21,False
